Filename,Time (s),Memory (KB)
product_trsolve.cpp,21.69,626012
adjoint.cpp,8.96,374028
product_trsolve.cpp,14.48,489044
nullary.cpp,6.95,312636
product_mmtr.cpp,24.06,565660
product_mmtr.cpp,23.70,558540
product_mmtr.cpp,28.25,637636
redux.cpp,5.08,240940
product_notemporary.cpp,64.78,1165020
umeyama.cpp,17.24,487460
umeyama.cpp,31.68,709380
mapped_matrix.cpp,6.88,289172
product_notemporary.cpp,103.23,1477872
product_notemporary.cpp,100.82,1427240
geo_hyperplane.cpp,53.80,1067036
householder.cpp,56.52,1152664
permutationmatrices.cpp,5.65,275664
diagonalmatrices.cpp,18.77,435220
permutationmatrices.cpp,6.69,294604
sparse_block.cpp,21.47,449420
geo_transformations.cpp,53.06,1105336
cholesky.cpp,5.24,194888
product_trmm.cpp,31.32,664380
permutationmatrices.cpp,10.40,332932
cholesky.cpp,39.76,886540
stddeque_overload.cpp,9.17,322776
cholesky.cpp,40.08,896132
cholesky.cpp,4.13,186780
single.cpp,25.51,518520
double.cpp,24.00,538760
complex_single.cpp,41.29,678924
complex_double.cpp,36.43,675156
xerbla.cpp,0.03,12796
cxx11_tensor_io.cpp,6.55,271180
cxx11_tensor_roundings.cpp,2.81,159424
cxx11_tensor_sugar.cpp,6.61,263032
cxx11_tensor_empty.cpp,2.12,139732
cxx11_tensor_intdiv.cpp,2.60,138028
cxx11_tensor_intdiv.cpp,2.29,137440
cxx11_tensor_intdiv.cpp,2.50,137572
cxx11_tensor_math.cpp,2.59,149528
cxx11_tensor_forced_eval.cpp,11.61,325960
cxx11_tensor_comparisons.cpp,3.93,182692
cxx11_tensor_casts.cpp,4.73,213204
cxx11_tensor_assign.cpp,4.57,228292
cxx11_tensor_map.cpp,3.33,188416
cxx11_tensor_dimension.cpp,2.13,138468
special_functions.cpp,10.23,342792
special_functions.cpp,11.05,345868
kronecker_product.cpp,2.64,151496
kronecker_product.cpp,12.76,349908
minres.cpp,2.54,156132
dgmres.cpp,92.30,1532628
matrix_power.cpp,186.59,2276760
matrix_power.cpp,221.60,2560140
matrix_power.cpp,170.61,2016500
matrix_function.cpp,105.65,1737996
autodiff_scalar.cpp,2.07,134216
polynomialsolver.cpp,29.38,725716
matrix_function.cpp,54.13,1153520
matrix_power.cpp,152.56,2006748
autodiff.cpp,3.46,201388
autodiff_scalar.cpp,1.60,105672
matrix_function.cpp,99.88,1708712
matrix_exponential.cpp,36.06,893340
matrix_exponential.cpp,42.05,933304
matrix_function.cpp,96.39,1629340
matrix_square_root.cpp,23.09,642348
cxx11_maxsizevector.cpp,2.10,135896
autodiff.cpp,3.09,212472
BVH.cpp,5.20,232704
matrix_function.cpp,49.62,1094100
cxx11_tensor_block_access.cpp,19.73,339840
polynomialsolver.cpp,31.96,750516
matrix_exponential.cpp,89.21,1666736
polynomialsolver.cpp,23.40,584332
autodiff_scalar.cpp,2.40,134344
matrix_power.cpp,44.78,1022204
matrix_square_root.cpp,79.77,1332120
FFTW.cpp,8.29,322408
polynomialsolver.cpp,34.58,842780
cxx11_tensor_layout_swap.cpp,2.87,157312
matrix_power.cpp,177.29,2246352
polynomialutils.cpp,4.02,205308
cxx11_tensor_intdiv.cpp,2.39,137508
matrix_power.cpp,113.24,1893292
matrix_power.cpp,178.80,2345108
matrix_exponential.cpp,41.55,932852
polynomialutils.cpp,4.54,208284
BVH.cpp,5.35,228832
